0,0,0,0,0,0,1
-5.24,0,0,0,0,0.7071067811865475,0.7071067811865476
-5.01,15.4,0,0,0,0.7071067811865475,0.7071067811865476
-0.84,15.4,0,0,0,0.7071067811865475,0.7071067811865476
-0.84,8.5,0,0,0,0.7071067811865475,0.7071067811865476
-0.84,20,0,0,0,0.7071067811865475,0.7071067811865476
-0.84,15.5,0,0,0,0.7071067811865475,0.7071067811865476
-5,15.5,0,0,0,0.7071067811865475,0.7071067811865476
-4.9,28.01,0,0,0,0.8191520475895173,0.5735764316374071
16.09,28,0,0,0,-0.05233595572152262,0.9986295347819004
10.84,27.78,0,0,0,-0.43837114359138946,0.8987940478587836
10.5,4.51,0,0,0,-0.43837114359138946,0.8987940478587836
2,4,0,0,0,0,1
2,0,0,0,0,0,1
4,0,0,0,0,0,1
3.15,-3.26,0,0,0,0,1
13.73,-3.86,0,0,0,0,1
7,-3,0,0,0,0,1
7,0,0,0,0,0,1
26,0,0,0,0,0,1
26,19.34,0,0,0,0,1
26,15,0,0,0,0,1
22,15,0,0,0,0,1
22,19,0,0,0,0,1
22,8,0,0,0,0,1
22,14.5,0,0,0,0,1
26,14.5,0,0,0,0,1
26,0,0,0,0,0,1
5,0,0,0,0,0,1
4,4,0,0,0,0,1
6,4,0,0,0,0,1
6,0,0,0,0,0,1
10,0,0,0,0,0,1
10,4,0,0,0,0,1
